OpenAL-devel,pkgconfig(openal)
PackageKit-Qt5-devel,pkgconfig(packagekitqt5)
PackageKit-glib-devel,pkgconfig(packagekit-glib2)
SDL2-devel,pkgconfig(sdl2)
SDL2_gfx-devel,pkgconfig(SDL2_gfx)
SDL2_image-devel,pkgconfig(SDL2_image)
SDL2_mixer-devel,pkgconfig(SDL2_mixer)
SDL2_ttf-devel,pkgconfig(SDL2_ttf)
abseil-cpp-devel,pkgconfig(absl_absl_check)
abseil-cpp-devel,pkgconfig(absl_absl_log)
abseil-cpp-devel,pkgconfig(absl_algorithm)
abseil-cpp-devel,pkgconfig(absl_algorithm_container)
abseil-cpp-devel,pkgconfig(absl_any)
abseil-cpp-devel,pkgconfig(absl_any_invocable)
abseil-cpp-devel,pkgconfig(absl_atomic_hook)
abseil-cpp-devel,pkgconfig(absl_bad_any_cast)
abseil-cpp-devel,pkgconfig(absl_bad_any_cast_impl)
abseil-cpp-devel,pkgconfig(absl_bad_optional_access)
abseil-cpp-devel,pkgconfig(absl_bad_variant_access)
abseil-cpp-devel,pkgconfig(absl_base)
abseil-cpp-devel,pkgconfig(absl_base_internal)
abseil-cpp-devel,pkgconfig(absl_bind_front)
abseil-cpp-devel,pkgconfig(absl_bits)
abseil-cpp-devel,pkgconfig(absl_btree)
abseil-cpp-devel,pkgconfig(absl_check)
abseil-cpp-devel,pkgconfig(absl_city)
abseil-cpp-devel,pkgconfig(absl_civil_time)
abseil-cpp-devel,pkgconfig(absl_cleanup)
abseil-cpp-devel,pkgconfig(absl_cleanup_internal)
abseil-cpp-devel,pkgconfig(absl_common_policy_traits)
abseil-cpp-devel,pkgconfig(absl_compare)
abseil-cpp-devel,pkgconfig(absl_compressed_tuple)
abseil-cpp-devel,pkgconfig(absl_config)
abseil-cpp-devel,pkgconfig(absl_container_common)
abseil-cpp-devel,pkgconfig(absl_container_memory)
abseil-cpp-devel,pkgconfig(absl_cord)
abseil-cpp-devel,pkgconfig(absl_cord_internal)
abseil-cpp-devel,pkgconfig(absl_cordz_functions)
abseil-cpp-devel,pkgconfig(absl_cordz_handle)
abseil-cpp-devel,pkgconfig(absl_cordz_info)
abseil-cpp-devel,pkgconfig(absl_cordz_sample_token)
abseil-cpp-devel,pkgconfig(absl_cordz_statistics)
abseil-cpp-devel,pkgconfig(absl_cordz_update_scope)
abseil-cpp-devel,pkgconfig(absl_cordz_update_tracker)
abseil-cpp-devel,pkgconfig(absl_core_headers)
abseil-cpp-devel,pkgconfig(absl_counting_allocator)
abseil-cpp-devel,pkgconfig(absl_crc32c)
abseil-cpp-devel,pkgconfig(absl_crc_cord_state)
abseil-cpp-devel,pkgconfig(absl_crc_cpu_detect)
abseil-cpp-devel,pkgconfig(absl_crc_internal)
abseil-cpp-devel,pkgconfig(absl_debugging)
abseil-cpp-devel,pkgconfig(absl_debugging_internal)
abseil-cpp-devel,pkgconfig(absl_demangle_internal)
abseil-cpp-devel,pkgconfig(absl_die_if_null)
abseil-cpp-devel,pkgconfig(absl_dynamic_annotations)
abseil-cpp-devel,pkgconfig(absl_endian)
abseil-cpp-devel,pkgconfig(absl_errno_saver)
